Rv2423,Rv2423,Unknown
MTB000130,ncRv11264c,Unknown
MTB000131,ncRv1298,Unknown
MTB000132,ncRv11298,Unknown
MTB000133,ncRv11315,Unknown
MTB000134,ncRv1329,Unknown
MTB000135,ncRv1389,Unknown
MTB000136,ncRv1501,Unknown
MTB000137,ncRv1617,Unknown
MTB000154,ncRv13418cA,Unknown
MTB000032,argW,-
MTB000033,hisT,-
Rv2422,Rv2422,Unknown
Rv2255c,Rv2255c,Unknown
MTB000048,argU,-
MTB000050,serU,-
MTB000079,ncrMT3949,Unknown
Rv0005,gyrB,DNA gyrase negatively supercoils closed circular double-stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings  including catenanes and knotted rings [catalytic activity: ATP-dependent breakage  passage and rejoining of double-stranded DNA].
Rv0036c,Rv0036c,Function unknown
Rv0138,Rv0138,Function unknown
Rv2125,Rv2125,Unknown
Rv3697A,vapB48,Unknown
Rv3831,Rv3831,Unknown
Rv3851,Rv3851,Unknown
MTB000003,leuT,-
Rv0013,trpG,Possibly involved in biosynthesis of tryptophan (at the first step). Supposed tetramer of two components I and two components II: component I (Rv1609|trpE) catalyzes the formation of anthranilate using ammonia rather than glutamine  whereas component II (Rv0013|trpG) provides glutamine amidotransferase activity. Possibly participates in the tryptophan-dependent indole-3-acetic acid production [catalytic activity: chorismate + L-glutamine = anthranilate + pyruvate + L-glutamate].
Rv0015c,pknA,Involved in signal transduction (via phosphorylation). Thought to regulate morphological changes associated with cell division/differentiation process. Phosphorylates at serine and threonine residues [catalytic activity: ATP + a protein = ADP + a phosphoprotein].
Rv0020c,fhaA,Signal transduction
Rv2065,cobH,Required for cobalamin biosynthesis.
Rv0017c,rodA,This is a septum-peptidoglycan biosynthetic protein  involved in cell wall formation. Plays a role in the stabilization of the FTSZ ring during cell division.
Rv0019c,fhaB,Signal transduction
Rv0022c,whiB5,Involved in transcriptional mechanism.
Rv0035,fadD34,Function unknown  but involved in lipid degradation.
Rv0055,rpsR1,This protein has been implicated in aminoacyl-transfer RNA binding. It appears to be situated at the decoding site of messenger RNA.
Rv1052,Rv1052,Unknown
Rv2737A,Rv2737A,Function unknown
Rv0042c,Rv0042c,Possibly involved in transcriptional mechanism.
Rv0043c,Rv0043c,Involved in transcriptional mechanism.
Rv0044c,Rv0044c,Function unknown; probably involved in cellular metabolism.
