AccessionNumber,GeneName,Function
Rv0305c,PPE6,Function unknown
Rv0635,hadA,Involved in fatty acid synthesis type II (fas-II)
Rv1735c,Rv1735c,Function unknown
Rv0252,nirB,Involved in nitrate assimilation (denitrification) (at the second step). This enzyme is a FAD flavoprotein that also contains a siroheme and one 2FE-2S iron-sulfur center [catalytic activity: 3 NAD(P)H + nitrite = 3 NAD(P)+ + NH4OH + H2O.]
Rv0115,hddA,Involved in biosynthesis of nucleotide-activated glycero-manno-heptose (D-alpha-D pathway) [catalytic activity: D-glycero-alpha beta-D-manno-heptose 7-phosphate + ATP = D-glycero-alpha-D-manno-heptose 1 7-biphosphate].
Rv0557,mgtA,Involved in lipomannan (LM) biosynthesis
Rv1469,ctpD,Cation-transporting ATPase; possibly catalyzes the transport of a cation (possibly cadmium) with the hydrolyse of ATP [catalytic activity: ATP + H(2)O + cation(in) = ADP + phosphate + cation(out)].
Rv0127,mak,Catalyzes the transfer of a phosphate group from ATP to maltose to produce maltose-1-phosphate [catalytic activity: ATP + maltose = ADP + maltose-1-phosphate]
Rv1985c,Rv1985c,Involved in transcriptional mechanism.
Rv2027c,dosT,Sensor part of the two component regulatory system DEVR/DEVS/dost; O2  NO and CO are ligands  dost is inactive when bound to oxygen
Rv2519,PE26,Function unknown
Rv2425c,Rv2425c,Function unknown
Rv1454c,qor,Catalyzes the one electron reduction of certain quinones [catalytic activity: NADPH + quinone = NADP+ + semiquinone]
Rv0565c,Rv0565c,Function unknown; probably involved in cellular metabolism.
Rv1770,Rv1770,Function unknown
Rv2113,Rv2113,Unknown
Rv2638,Rv2638,Function unknown
Rv3612c,Rv3612c,Function unknown
Rv2592c,ruvB,forms a complex with RUVA. RUVB could possess weak ATPase activity  which will be stimulated by the RUVA protein in the presence of DNA. The RUVA-RUVB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence  indicating that it may promote strand exchange reactions in homologous recombination. RUVAB is an helicase that mediates the holliday junction migration by localized denaturation and reanneling.
Rv2161c,Rv2161c,Unknown
Rv3719,Rv3719,Function unknown
Rv2160c,Rv2160c,Unknown
Rv2452c,Rv2452c,Unknown
Rv2013,Rv2013,Required for the transposition of an insertion element.
Rv2397c,cysA1,Involved in the active transport across the membrane of multiple sulfur-containing compounds  including sulfate and thiosulfate (import). Responsible for energy coupling to the transport system.
Rv1089A,celA2a,The biological conversion of cellulose to glucose generally requires three types of hydrolytic enzymes: (1) endoglucanases which cut internal beta-1 4-glucosidic bonds; (2) exocellobiohydrolases that cut the dissaccharide cellobiose from the nonreducing end of the cellulose polymer chain; (3) beta-1 4-glucosidases which hydrolyze the cellobiose and other short cello-oligosaccharides to glucose [catalytic activity:endohydrolysis of 1 4-beta-D-glucosidic linkages in cellulose].
Rv1667c,Rv1667c,Thought to be involved in active transport of macrolide across the membrane (export). Macrolide antibiotics resistance by an export mechanism. Responsible for energy coupling to the transport system.
Rv0223c,Rv0223c,Thought to oxidize a wide variety of aliphatic and aromatic aldehydes.
Rv1720c,vapC12,Unknown
Rv1806,PE20,Function unknown
Rv1920,Rv1920,Unknown
MTB000031,glyV,-
Rv1776c,Rv1776c,Involved in transcriptional mechanism.
Rv2198c,mmpS3,Unknown
Rv2139,pyrD,Pyrimidine biosynthesis
Rv2338c,moeW,Involved in molybdoptenum cofactor biosynthesis; thought to be involved in the biosynthesis of a demolybdo-cofactor (molybdopterin)  necessary for molybdo-enzymes.
Rv0879c,Rv0879c,Unknown
Rv1323,fadA4,Function unknown  but supposed involvement in lipid degradation [catalytic activity: 2 acetyl-CoA = CoA + acetoacetyl-CoA].
Rv0668,rpoC,Catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates [catalytic activity: N nucleoside triphosphate = N diphosphate + {RNA}(N)].
Rv2176,pknL,Involved in signal transduction (via phosphorylation). May be involved in transcriptional mechanism.
Rv0574c,Rv0574c,Function unknown
Rv0388c,PPE9,Function unknown
Rv1999c,Rv1999c,Unknown. Possibly transporter involved in transport of undetermined substrate (possibly cationic amino acids) across the membrane: so responsible for the translocation of the substrate across the membrane.
Rv2609c,Rv2609c,Unknown
Rv1211,Rv1211,Function unknown
Rv1446c,opcA,May be involved in the functional assembly of glucose 6-phosphate dehydrogenase
Rv2580c,hisS,Involved in translation mechamism [catalytic activity: ATP + L-histidine + tRNA(his) = AMP + pyrophosphate + L-histidyl-tRNA(his)].
Rv2448c,valS,Involved in translation mechanisms [catalyic activity: ATP + L-valine + tRNA(val) = AMP + diphosphate + L-valyl-tRNA(val)].
Rv2749,Rv2749,Function unknown
MTB000118,ncRv0724,Unknown
Rv1188,Rv1188,Oxidizes proline to glutamate for use as a carbon and nitrogen source [catalytic activity: L-proline + acceptor + H2O = (S)-1-pyrroline-5-carboxylate + reduced acceptor]
Rv1478,Rv1478,Unknown  but supposedly involved in virulence
Rv0032,bioF2,Could be involved in biotin biosynthesis (at the first step) [catalytic activity: 6-carboxyhexanoyl-CoA + L-alanine = 8-amino-7-oxononanoate + CoA + CO2].
Rv2969c,Rv2969c,Unknown
Rv2279,Rv2279,Required for the transposition of the insertion element IS6110.
Rv1247c,relB,Function unknown
Rv0282,eccA3,Function unknown
Rv1740,vapB34,Unknown
Rv3138,pflA,Involved in cellular metabolism [catalytic activity: S-adenosyl-L-methionine + dihydroflavodoxin + [formate acetyltransferase]-glycine = 5'-deoxyadenosine + methionine + flavodoxin + [formate acetyltransferase]-glycine-2-YL radical].
Rv0335c,PE6,Function unknown
Rv0991c,Rv0991c,Function unknown
Rv0600c,Rv0600c,Sensor part of a two component regulatory system.
MTB000112,ncRv10637,Unknown
Rv3171c,hpx,Supposedly involved in detoxification reactions.
Rv3184,Rv3184,Involved in the transposition in the insertion sequence IS6110.
Rv2760c,vapB42,Unknown
Rv3276c,purK,Involved in purine biosynthesis (sixth step). Possesses an ATPase activity that is dependent on the presence of air (aminoimidazole ribonucleotide). The association of PURK and pure produces an enzyme complex capable of converting air to CAIR efficiently under physiological condition [catalytic activity: 1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate = 1-(5-phosphoribosyl)-5-aminoimidazole + CO(2)].
